Instance,TotalRegularModkCollisions,TotalShuffles,TotalPciChanges,MA_WS,MA_NWS,NSGA,MIP
pci_001_n0030_full,9,0,16,0.00,0.00,0.00,0.00
pci_002_n0030_full,29,0,15,0.00,0.00,0.00,6.45
pci_003_n0030_full,28,0,16,0.00,0.00,0.00,9.68
pci_004_n0033_full,18,0,15,0.00,0.00,0.00,0.00
pci_005_n0033_full,19,0,13,0.00,0.00,0.00,100.00
pci_006_n0040_full,4,0,35,0.00,0.00,0.00,0.00
pci_007_n0043_full,22,0,24,0.00,0.00,0.00,8.33
pci_008_n0043_full,35,0,26,0.00,0.00,0.00,5.41
pci_009_n0043_full,22,0,25,0.00,0.00,0.00,8.33
pci_010_n0045_full,6,0,26,0.00,0.00,3.70,16.13
pci_011_n0047_full,22,0,17,0.00,0.00,0.00,22.73
pci_012_n0051_full,36,0,32,0.00,0.00,0.00,5.26
pci_013_n0051_full,35,0,31,0.00,0.00,0.00,14.63
pci_014_n0052_full,5,0,42,0.00,0.00,0.00,0.00
pci_015_n0059_full,59,0,29,0.00,0.00,0.00,7.81
pci_016_n0062_full,72,0,43,0.00,0.00,0.00,17.24
pci_017_n0066_full,52,0,41,0.00,0.00,1.89,22.39
pci_018_n0066_full,50,0,42,0.00,0.00,0.00,21.88
pci_019_n0068_full,6,0,57,0.00,0.00,0.00,6.56
pci_020_n0069_full,76,0,42,0.00,0.00,0.00,17.39
pci_021_n0070_full,16,0,30,0.00,0.00,0.00,5.88
pci_022_n0070_full,17,0,28,0.00,0.00,3.45,3.45
pci_023_n0073_full,58,0,48,0.00,0.00,1.69,18.31
pci_024_n0073_full,43,0,36,0.00,0.00,0.00,4.44
pci_025_n0077_full,45,0,49,0.00,0.00,0.00,23.73
pci_026_n0077_full,65,0,49,0.00,0.00,1.52,9.72
pci_027_n0077_full,64,0,50,0.00,0.00,0.00,8.57
pci_028_n0077_full,45,0,52,0.00,0.00,0.00,18.18
pci_029_n0082_full,16,0,44,0.00,0.00,5.88,15.79
pci_030_n0083_full,17,0,38,0.00,0.00,0.00,17.39
pci_031_n0084_full,99,0,61,0.00,0.00,1.98,26.12
pci_032_n0084_full,97,0,56,0.00,0.00,2.02,34.46
pci_033_n0093_full,20,0,54,0.00,0.00,4.76,9.09
pci_034_n0093_full,20,0,54,0.00,0.00,4.76,13.04
pci_035_n0094_full,88,0,53,0.00,0.00,1.12,9.28
pci_036_n0094_full,28,0,71,0.00,0.00,0.00,15.15
pci_037_n0094_full,28,0,77,0.00,0.00,0.00,28.21
pci_038_n0094_full,32,0,54,0.00,0.00,3.03,11.11
pci_039_n0094_full,91,0,58,0.00,0.00,1.09,27.78
pci_040_n0109_full,188,0,71,0.00,0.00,0.53,28.52
pci_041_n0114_full,188,0,74,0.00,0.00,2.08,11.74
pci_042_n0120_full,48,0,80,0.00,0.00,0.00,36.84
pci_043_n0122_full,134,0,73,0.00,0.00,1.47,13.55
pci_044_n0126_full,85,0,90,0.00,0.00,4.26,43.71
pci_045_n0129_full,54,0,110,0.00,0.00,1.82,34.94
pci_046_n0132_full,179,0,83,0.00,0.00,1.65,99999.00
pci_047_n0135_full,96,0,80,0.00,0.00,4.00,11.93
pci_048_n0135_full,94,0,77,0.00,0.00,2.08,16.81
pci_049_n0135_full,118,0,88,0.00,0.00,0.00,31.79
pci_050_n0159_full,22,0,117,0.00,0.00,0.00,15.38
pci_051_n0162_full,251,0,106,0.00,4.50,2.71,30.66
pci_052_n0174_full,96,0,109,0.00,1.03,5.88,16.52
