Instance,TotalRegularModkCollisions,TotalShuffles,TotalPciChanges,MA_WS,MA_NWS,NSGA_II,MIP
pci_001_n0030_orig,9,0,16,0.00,0.00,0.00,11.11
pci_002_n0030_orig,29,0,15,0.00,0.00,0.00,100.00
pci_003_n0030_orig,28,0,16,0.00,0.00,0.00,100.00
pci_004_n0033_orig,18,0,15,0.00,0.00,0.00,100.00
pci_005_n0033_orig,19,0,13,0.00,0.00,0.00,31.58
pci_006_n0040_orig,4,0,35,0.00,0.00,0.00,0.00
pci_007_n0043_orig,22,0,24,0.00,0.00,0.00,100.00
pci_008_n0043_orig,35,0,26,0.00,0.00,0.00,7.89
pci_009_n0043_orig,22,0,25,0.00,0.00,0.00,100.00
pci_010_n0045_orig,6,0,26,0.00,0.00,0.00,7.14
pci_011_n0047_orig,22,0,18,0.00,0.00,0.00,100.00
pci_012_n0051_orig,36,0,32,0.00,0.00,0.00,10.00
pci_013_n0051_orig,35,0,31,0.00,0.00,0.00,12.50
pci_014_n0052_orig,5,0,42,0.00,0.00,0.00,2.33
pci_015_n0059_orig,59,0,29,0.00,0.00,0.00,29.27
pci_016_n0062_orig,72,0,43,0.00,0.00,0.00,15.29
pci_017_n0066_orig,52,0,42,0.00,0.00,1.89,7.14
pci_018_n0066_orig,50,0,42,0.00,0.00,2.33,15.25
pci_019_n0068_orig,6,0,57,0.00,0.00,0.00,100.00
pci_020_n0069_orig,76,0,42,0.00,0.00,0.00,12.64
pci_021_n0070_orig,16,0,30,0.00,0.00,0.00,9.09
pci_022_n0070_orig,17,0,28,0.00,0.00,0.00,5.56
pci_023_n0073_orig,58,0,48,0.00,0.00,1.69,7.94
pci_024_n0073_orig,43,0,36,0.00,0.00,0.00,8.51
pci_025_n0077_orig,45,0,50,0.00,0.00,0.00,18.18
pci_026_n0077_orig,65,0,49,0.00,0.00,7.55,12.16
pci_027_n0077_orig,64,0,50,0.00,0.00,3.85,8.57
pci_028_n0077_orig,45,0,53,0.00,0.00,0.00,10.00
pci_029_n0082_orig,16,0,44,0.00,0.00,0.00,5.88
pci_030_n0083_orig,17,0,38,0.00,0.00,2.56,5.56
pci_031_n0084_orig,99,0,61,0.00,0.00,1.98,13.91
pci_032_n0084_orig,97,0,56,0.00,0.00,2.02,21.14
pci_033_n0093_orig,20,0,54,0.00,0.00,4.76,4.76
pci_034_n0093_orig,20,0,54,0.00,0.00,4.76,9.09
pci_035_n0094_orig,88,0,53,0.00,0.00,1.12,21.43
pci_036_n0094_orig,28,0,71,0.00,0.00,0.00,6.67
pci_037_n0094_orig,28,0,77,0.00,0.00,0.00,15.15
pci_038_n0094_orig,32,0,54,0.00,0.00,3.57,3.03
pci_039_n0094_orig,91,0,58,0.00,0.00,2.15,14.15
pci_040_n0109_orig,188,0,71,0.00,0.00,2.59,8.29
pci_041_n0114_orig,188,0,74,0.00,0.00,2.08,7.84
pci_042_n0120_orig,48,0,80,0.00,0.00,0.00,14.29
pci_043_n0122_orig,134,0,73,0.00,0.00,2.19,17.28
pci_044_n0126_orig,85,0,91,0.00,0.00,2.30,18.27
pci_045_n0129_orig,54,0,110,0.00,0.00,1.82,20.59
pci_046_n0132_orig,179,0,83,0.00,0.00,1.10,11.82
pci_047_n0135_orig,96,0,80,0.00,0.00,4.00,27.27
pci_048_n0135_orig,94,0,77,0.00,0.00,2.08,17.54
pci_049_n0135_orig,118,0,88,0.00,0.00,0.84,28.48
pci_050_n0159_orig,22,0,117,0.00,0.00,4.35,8.33
pci_051_n0162_orig,251,0,106,0.00,0.00,1.95,99999.00
pci_052_n0174_orig,96,0,109,0.00,1.03,6.80,32.87
pci_053_n0202_orig,65,0,139,0.00,0.00,1.52,20.73
pci_054_n0202_orig,65,0,130,0.00,0.00,2.99,30.11
pci_055_n0210_orig,166,0,134,0.00,0.00,4.05,99999.00
pci_056_n0210_orig,164,0,145,0.00,0.61,4.09,99999.00
pci_057_n0238_orig,234,0,139,0.00,0.43,4.10,99999.00
pci_058_n0238_orig,230,0,146,0.00,0.86,4.17,19.58
pci_059_n0258_orig,433,0,178,0.00,0.23,3.78,99999.00
pci_060_n0258_orig,430,0,189,0.23,0.00,2.49,99999.00
pci_061_n0282_orig,317,0,181,0.00,0.94,4.23,99999.00
pci_062_n0284_orig,69,0,233,0.00,0.85,4.17,92.33
pci_063_n0297_orig,478,0,215,0.42,0.00,2.65,99999.00
pci_064_n0297_orig,478,0,204,0.00,0.42,3.43,99999.00
pci_065_n0323_orig,409,0,212,0.49,0.00,3.54,99999.00
pci_066_n0323_orig,411,0,202,0.00,0.72,3.29,99999.00
pci_067_n0327_orig,311,0,209,0.00,0.32,4.89,36.40
pci_068_n0327_orig,310,0,212,0.32,0.00,4.62,99999.00
pci_069_n0340_orig,166,0,222,0.00,0.60,6.74,99999.00
pci_070_n0340_orig,161,0,223,0.00,1.23,8.52,99999.00
pci_071_n0360_orig,349,0,227,1.73,0.00,4.64,99999.00
pci_072_n0365_orig,233,0,265,0.00,0.43,5.67,99999.00
pci_073_n0365_orig,235,0,264,0.00,2.22,6.00,99999.00
pci_074_n0374_orig,375,0,243,0.00,0.27,3.35,99999.00
pci_075_n0376_orig,372,0,231,0.27,0.00,3.12,99999.00
pci_076_n0391_orig,293,0,257,0.34,0.00,6.09,99999.00
pci_077_n0391_orig,290,0,262,0.00,0.68,5.84,99999.00
pci_078_n0405_orig,298,0,316,0.00,0.33,3.87,99999.00
pci_079_n0479_orig,761,0,302,0.13,0.00,3.30,99999.00
pci_080_n0479_orig,761,0,269,1.82,0.00,3.06,99999.00
pci_081_n0544_orig,727,0,361,0.00,0.41,3.84,99999.00
pci_082_n0554_orig,551,0,393,0.18,0.00,4.17,99999.00
pci_083_n0554_orig,545,0,400,0.00,0.00,5.05,99999.00
pci_084_n0596_orig,638,0,372,4.86,0.00,3.77,99999.00
pci_085_n0596_orig,633,0,377,0.78,0.00,5.10,99999.00
pci_086_n0600_orig,861,0,372,0.00,0.23,3.58,99999.00
pci_087_n0647_orig,524,0,471,0.38,0.00,5.92,99999.00
pci_088_n0647_orig,524,0,475,0.00,2.46,4.55,99999.00
pci_089_n0698_orig,516,0,455,0.39,0.00,5.32,99999.00
pci_090_n0728_orig,930,0,489,0.11,0.00,3.73,99999.00
pci_091_n0759_orig,676,0,559,0.88,0.00,5.98,99999.00
pci_092_n1026_orig,857,0,636,0.00,0.23,6.13,99999.00
pci_093_n1580_orig,2873,0,1041,0.00,0.69,4.71,99999.00
pci_094_n1892_orig,2918,0,1313,0.00,2.73,7.34,99999.00
pci_095_n2124_orig,1656,0,1364,0.00,2.53,9.66,99999.00
pci_096_n2284_orig,1474,0,1593,0.00,2.90,10.77,99999.00
pci_097_n4125_orig,6454,0,2770,0.00,5.77,7.10,99999.00
