Instance,TotalRegularModkCollisions,TotalShuffles,TotalPciChanges,MA_WS,MA_NWS,NSGA,MIP
pci_001_n0030_squz,13,2,27,0.00,0.00,33.33,99.67
pci_002_n0030_squz,30,12,22,0.00,0.00,7.69,3.23
pci_003_n0030_squz,29,10,20,0.00,0.00,0.00,98.82
pci_004_n0033_squz,22,1,28,0.00,0.00,0.00,99.89
pci_005_n0033_squz,23,0,30,0.00,0.00,0.00,100.00
pci_006_n0040_squz,9,3,37,0.00,0.00,0.00,99.74
pci_007_n0043_squz,27,4,33,0.00,0.00,0.00,91.29
pci_008_n0043_squz,41,1,40,0.00,0.00,2.38,90.89
pci_009_n0043_squz,28,6,34,0.00,0.00,0.00,92.00
pci_010_n0045_squz,9,4,44,0.00,0.00,10.00,99.55
pci_011_n0047_squz,22,0,44,0.00,0.00,0.00,4.35
pci_012_n0051_squz,39,1,48,0.00,0.00,9.30,92.35
pci_013_n0051_squz,41,6,48,0.00,0.00,4.65,91.80
pci_014_n0052_squz,13,0,46,0.00,0.00,4.17,100.00
pci_015_n0059_squz,62,7,54,0.00,0.00,3.12,91.14
pci_016_n0062_squz,88,6,54,1.82,0.00,1.12,91.29
pci_017_n0066_squz,57,4,65,1.72,0.00,5.00,92.08
pci_018_n0066_squz,55,6,63,1.79,0.00,5.17,92.03
pci_019_n0068_squz,15,34,66,0.00,0.00,0.00,0.00
pci_020_n0069_squz,82,1,68,1.20,0.00,3.53,91.37
pci_021_n0070_squz,19,3,60,0.00,0.00,0.00,50.00
pci_022_n0070_squz,20,1,61,0.00,0.00,0.00,4.76
pci_023_n0073_squz,64,3,68,0.00,0.00,3.03,91.90
pci_024_n0073_squz,44,0,68,0.00,0.00,0.00,100.00
pci_025_n0077_squz,54,0,72,0.00,0.00,3.57,91.69
pci_026_n0077_squz,71,2,74,50.00,0.00,2.74,93.24
pci_027_n0077_squz,75,5,75,1.32,0.00,1.32,92.57
pci_028_n0077_squz,57,0,72,0.00,0.00,3.39,91.86
pci_029_n0082_squz,19,3,73,0.00,0.00,5.00,99.82
pci_030_n0083_squz,20,4,75,0.00,0.00,4.76,99.77
pci_031_n0084_squz,103,4,80,0.00,0.96,3.74,93.13
pci_032_n0084_squz,107,1,82,0.00,0.00,3.60,92.72
pci_033_n0093_squz,27,0,89,100.00,0.00,12.90,25.00
pci_034_n0093_squz,24,5,89,0.00,4.00,17.24,20.00
pci_035_n0094_squz,94,0,91,100.00,0.00,5.05,92.48
pci_036_n0094_squz,40,3,93,2.44,0.00,16.67,20.00
pci_037_n0094_squz,47,1,94,0.00,4.08,12.96,95.77
pci_038_n0094_squz,35,2,91,33.33,0.00,7.89,92.22
pci_039_n0094_squz,97,2,94,0.00,1.02,4.90,92.05
pci_040_n0109_squz,195,2,105,0.00,0.51,1.02,92.14
pci_041_n0114_squz,192,14,106,1.85,0.00,2.04,92.41
pci_042_n0120_squz,64,37,110,0.00,1.54,3.03,91.79
pci_043_n0122_squz,139,11,114,0.00,2.11,4.14,91.82
pci_044_n0126_squz,87,2,125,60.00,0.00,2.25,91.63
pci_045_n0129_squz,58,34,129,1.69,0.00,3.33,92.16
pci_046_n0132_squz,198,16,130,1.00,0.00,5.26,93.05
pci_047_n0135_squz,105,7,128,1.87,0.00,7.08,93.00
pci_048_n0135_squz,120,16,132,2.44,0.00,7.69,94.34
pci_049_n0135_squz,121,5,132,37.50,0.00,3.97,25.77
pci_050_n0159_squz,28,0,155,0.00,0.00,6.67,92.43
pci_051_n0162_squz,269,34,144,15.00,0.00,1.10,99999.00
pci_052_n0174_squz,96,0,167,0.00,0.60,3.03,92.73
pci_053_n0202_squz,67,2,194,0.00,1.47,1.47,93.16
pci_054_n0202_squz,65,0,189,0.00,0.00,4.41,30.11
pci_055_n0210_squz,203,28,206,2.40,0.00,10.96,94.31
pci_056_n0210_squz,196,22,206,2.00,0.00,7.55,94.40
pci_057_n0238_squz,237,0,236,0.42,0.00,3.27,29.04
pci_058_n0238_squz,231,0,225,0.00,0.43,2.53,30.00
pci_059_n0258_squz,468,31,245,0.85,0.00,5.26,99999.00
pci_060_n0258_squz,462,26,248,2.53,0.00,9.06,99999.00
pci_061_n0282_squz,353,21,264,16.00,0.00,1.94,99999.00
pci_062_n0284_squz,99,108,273,6.60,0.00,6.60,92.83
pci_063_n0297_squz,496,22,267,1.00,0.00,2.55,99999.00
pci_064_n0297_squz,508,20,265,0.59,0.00,2.31,99999.00
pci_065_n0323_squz,459,20,306,0.00,0.22,7.46,99999.00
pci_066_n0323_squz,457,17,302,0.65,0.00,7.68,99999.00
pci_067_n0327_squz,348,20,311,3.87,0.00,5.95,99999.00
pci_068_n0327_squz,340,25,318,3.13,0.00,4.49,99999.00
pci_069_n0340_squz,182,10,329,1.09,0.00,5.70,99999.00
pci_070_n0340_squz,185,7,329,5.13,0.00,11.06,93.32
pci_071_n0360_squz,381,15,335,0.00,3.79,3.54,99999.00
pci_072_n0365_squz,291,11,355,2.02,0.00,10.46,99999.00
pci_073_n0365_squz,296,15,361,1.00,0.00,10.30,99999.00
pci_074_n0374_squz,373,0,327,0.27,0.00,4.85,33.15
pci_075_n0376_squz,372,0,325,0.61,0.00,2.62,99999.00
pci_076_n0391_squz,370,77,384,2.63,0.00,99999.00,99999.00
pci_077_n0391_squz,342,46,387,2.01,0.00,12.08,99999.00
pci_078_n0405_squz,321,7,395,2.43,0.00,5.87,99999.00
pci_079_n0479_squz,802,27,461,0.25,0.00,3.37,99999.00
pci_080_n0479_squz,759,0,462,0.00,0.13,3.19,99999.00
pci_081_n0544_squz,761,23,520,1.17,0.00,4.76,99999.00
pci_082_n0554_squz,613,56,539,2.23,0.00,12.68,99999.00
pci_083_n0554_squz,596,47,539,3.25,0.00,11.04,99999.00
pci_084_n0596_squz,695,31,565,0.14,0.00,8.79,99999.00
pci_085_n0596_squz,630,0,396,0.63,0.00,5.12,99999.00
pci_086_n0600_squz,894,26,567,1.76,0.00,6.49,99999.00
pci_087_n0647_squz,618,39,637,0.00,0.80,11.08,99999.00
pci_088_n0647_squz,629,28,633,2.02,0.00,13.36,99999.00
pci_089_n0698_squz,553,24,632,0.00,5.63,6.75,99999.00
pci_090_n0728_squz,983,27,695,0.00,4.56,6.20,99999.00
pci_091_n0759_squz,775,93,712,1.65,0.00,99999.00,99999.00
pci_092_n1026_squz,957,58,985,0.00,1.03,14.63,99999.00
pci_093_n1580_squz,3059,173,1509,0.00,14.62,99999.00,99999.00
pci_094_n1892_squz,3307,297,1789,0.00,10.91,99999.00,99999.00
pci_095_n2124_squz,1758,62,2000,0.00,16.25,17.93,99999.00
pci_096_n2284_squz,1542,54,2116,0.00,11.73,14.71,99999.00
pci_097_n4125_squz,6516,88,3803,0.00,11.32,8.26,99999.00
