instance_name pci_001_n0030_full
instance_group full
min_allowed_pci 0
max_allowed_pci 1007
module_k 4
num_nodes 30
num_top_neighbors 27
0 7
1 15
1 24
2 3
2 15
3 5
4 8
4 17
5 26
6 8
6 18
7 21
9 11
9 13
10 11
10 18
12 13
14 19
14 20
16 22
17 23
19 23
21 26
22 25
24 29
27 28
27 29
num_regular_neighbors 103
0 1
0 2
0 3
0 6
0 15
0 21
0 24
0 26
1 2
1 7
1 21
1 26
2 4
2 7
2 16
2 21
2 26
3 4
3 6
3 7
3 8
3 10
3 13
3 14
3 15
3 18
3 19
3 21
3 24
3 26
4 5
4 7
4 15
4 19
4 26
5 7
5 8
5 10
5 14
5 15
5 18
5 19
5 20
5 21
6 7
6 10
6 13
6 21
6 24
6 26
7 8
7 15
7 16
7 17
7 19
7 23
7 24
7 26
8 10
8 11
8 14
8 15
8 18
8 19
8 20
8 26
9 10
9 14
9 18
10 13
10 14
10 26
11 14
11 18
12 14
12 18
13 14
13 18
13 24
14 18
15 16
15 17
15 21
15 26
16 17
16 21
16 23
16 26
17 19
17 21
17 26
18 19
18 20
19 20
21 22
21 23
22 23
23 26
24 25
24 26
25 26
25 29
28 29
num_second_level_neighbors 180
0 4
0 5
0 8
0 10
0 13
0 14
0 16
0 17
0 18
0 19
0 22
0 23
0 25
0 29
1 3
1 4
1 5
1 6
1 8
1 10
1 13
1 16
1 17
1 19
1 22
1 23
1 25
1 29
2 5
2 6
2 8
2 10
2 13
2 14
2 17
2 18
2 19
2 22
2 23
2 24
2 25
3 9
3 11
3 12
3 16
3 17
3 20
3 22
3 23
3 25
3 29
4 6
4 10
4 11
4 13
4 14
4 16
4 18
4 20
4 21
4 23
4 24
4 25
5 6
5 9
5 11
5 12
5 13
5 16
5 17
5 22
5 23
5 24
5 25
6 9
6 11
6 12
6 14
6 15
6 16
6 17
6 19
6 20
6 22
6 23
6 25
6 29
7 10
7 11
7 13
7 14
7 18
7 20
7 22
7 25
7 29
8 9
8 12
8 13
8 16
8 17
8 21
8 23
8 24
8 25
9 12
9 19
9 20
9 24
9 26
10 12
10 15
10 16
10 17
10 19
10 20
10 21
10 23
10 24
10 25
11 12
11 13
11 15
11 19
11 20
11 26
12 19
12 20
12 24
13 15
13 19
13 20
13 21
13 25
13 26
13 29
14 15
14 17
14 21
14 23
14 24
14 26
15 18
15 19
15 20
15 22
15 23
15 24
15 25
16 19
16 24
16 25
17 18
17 20
17 22
17 24
17 25
18 21
18 23
18 24
18 26
19 21
19 22
19 24
19 26
20 21
20 23
20 26
21 24
21 25
22 24
22 26
22 29
23 24
23 25
24 27
24 28
25 27
25 28
26 29
original_pcis
78
79
80
423
424
425
444
445
446
168
169
170
147
466
281
489
490
491
84
85
86
207
421
422
474
157
158
171
439
440
cp_solver_time 0.084424805
feasible_solution
994
1006
998
1005
1002
727
1004
1000
997
1002
1007
993
1006
995
999
996
1001
989
1001
990
842
993
724
995
1003
999
992
1007
1006
1002
num_inter_technology_neighbors 0
inter_technology_neighbors
